PVID,metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,seen_num_over_denom,all_num_over_denom,
1.37449707300061E+15,COLORECTAL,365,440,82.9545454545454545,422,553,76.3110307414104882,6564,6565,273,1,1/1/2017 11:42:44 PM,0.8295454545454545454,0.7631103074141048824,
1.37449707300061E+15,COLORECTAL,365,440,82.9545454545454545,422,553,76.3110307414104882,6564,6565,273,1,1/2/2017 11:44:21 PM,0.8295454545454545454,0.7631103074141048824,
1.37449707300061E+15,COLORECTAL,364,439,82.9157175398633257,423,554,76.3537906137184116,6564,6565,273,1,1/3/2017 11:39:02 PM,0.8291571753986332574,0.7635379061371841155,
1.37449707300061E+15,COLORECTAL,363,439,82.6879271070615034,422,553,76.3110307414104882,6564,6565,273,1,1/4/2017 11:37:14 PM,0.8268792710706150341,0.7631103074141048824,
1.37449707300061E+15,COLORECTAL,362,438,82.6484018264840183,421,552,76.2681159420289855,6564,6565,273,1,1/5/2017 11:42:58 PM,0.8264840182648401826,0.7626811594202898550,
1.37449707300061E+15,COLORECTAL,363,440,82.5000000000000000,422,552,76.4492753623188406,6564,6565,273,1,1/6/2017 11:42:50 PM,0.8250000000000000000,0.7644927536231884057,
1.37449707300061E+15,COLORECTAL,363,441,82.3129251700680272,422,553,76.3110307414104882,6564,6565,273,1,1/8/2017 11:42:46 PM,0.8231292517006802721,0.7631103074141048824,
1.37449707300061E+15,COLORECTAL,364,442,82.3529411764705882,423,555,76.2162162162162162,6564,6565,273,1,1/9/2017 11:42:11 PM,0.8235294117647058823,0.7621621621621621621,
1.37449707300061E+15,COLORECTAL,362,440,82.2727272727272727,423,555,76.2162162162162162,6564,6565,273,1,1/10/2017 11:46:16 PM,0.8227272727272727272,0.7621621621621621621,
1.37449707300061E+15,COLORECTAL,362,442,81.9004524886877828,423,556,76.0791366906474820,6564,6565,273,1,1/11/2017 11:41:28 PM,0.8190045248868778280,0.7607913669064748201,
1.37449707300061E+15,COLORECTAL,361,442,81.6742081447963801,422,556,75.8992805755395683,6564,6565,273,1,1/12/2017 11:42:05 PM,0.8167420814479638009,0.7589928057553956834,
1.37449707300061E+15,COLORECTAL,361,442,81.6742081447963801,422,556,75.8992805755395683,6564,6565,273,1,1/13/2017 11:45:01 PM,0.8167420814479638009,0.7589928057553956834,
1.37449707300061E+15,COLORECTAL,362,443,81.7155756207674944,422,556,75.8992805755395683,6564,6565,273,1,1/15/2017 11:47:15 PM,0.8171557562076749435,0.7589928057553956834,
1.37449707300061E+15,COLORECTAL,363,445,81.5730337078651685,422,556,75.8992805755395683,6564,6565,273,1,1/16/2017 11:39:40 PM,0.8157303370786516853,0.7589928057553956834,
1.37449707300061E+15,COLORECTAL,362,445,81.3483146067415730,421,557,75.5834829443447038,6564,6565,273,1,1/17/2017 11:44:24 PM,0.8134831460674157303,0.7558348294434470377,
1.37449707300061E+15,COLORECTAL,362,445,81.3483146067415730,421,558,75.4480286738351254,6564,6565,273,1,1/18/2017 11:44:04 PM,0.8134831460674157303,0.7544802867383512544,
1.37449707300061E+15,COLORECTAL,364,448,81.2500000000000000,422,559,75.4919499105545617,6564,6565,273,1,1/19/2017 11:40:53 PM,0.8125000000000000000,0.7549194991055456171,
1.37449707300061E+15,COLORECTAL,363,447,81.2080536912751678,423,559,75.6708407871198569,6564,6565,273,1,1/20/2017 11:44:59 PM,0.8120805369127516778,0.7567084078711985688,
1.37449707300061E+15,COLORECTAL,363,446,81.3901345291479821,424,559,75.8497316636851521,6564,6565,273,1,1/22/2017 11:36:06 PM,0.8139013452914798206,0.7584973166368515205,
1.37449707300061E+15,COLORECTAL,365,448,81.4732142857142857,423,557,75.9425493716337522,6564,6565,273,1,1/23/2017 11:38:09 PM,0.8147321428571428571,0.7594254937163375224,
1.37449707300061E+15,COLORECTAL,365,447,81.6554809843400447,424,557,76.1220825852782765,6564,6565,273,1,1/24/2017 11:35:47 PM,0.8165548098434004474,0.7612208258527827648,
