PVID,metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,seen_num_over_denom,all_num_over_denom,
1.69943389795972E+15,TDAP,487,559,87.1198568872987478,582,755,77.0860927152317881,6588,6589,273,1,2/27/2017 11:38:31 PM,0.8711985688729874776,0.7708609271523178807,
1.69943389795972E+15,TDAP,487,560,86.9642857142857143,582,755,77.0860927152317881,6588,6589,273,1,2/28/2017 11:43:41 PM,0.8696428571428571428,0.7708609271523178807,
1.69943389795972E+15,TDAP,488,560,87.1428571428571429,584,756,77.2486772486772487,6588,6589,273,1,3/1/2017 11:35:29 PM,0.8714285714285714285,0.7724867724867724867,
1.69943389795972E+15,TDAP,490,560,87.5000000000000000,586,756,77.5132275132275132,6588,6589,273,1,3/2/2017 11:46:01 PM,0.8750000000000000000,0.7751322751322751322,
1.69943389795972E+15,TDAP,490,560,87.5000000000000000,587,758,77.4406332453825858,6588,6589,273,1,3/3/2017 11:37:40 PM,0.8750000000000000000,0.7744063324538258575,
1.69943389795972E+15,TDAP,490,560,87.5000000000000000,587,758,77.4406332453825858,6588,6589,273,1,3/5/2017 11:41:50 PM,0.8750000000000000000,0.7744063324538258575,
1.69943389795972E+15,TDAP,490,560,87.5000000000000000,587,758,77.4406332453825858,6588,6589,273,1,3/6/2017 11:38:42 PM,0.8750000000000000000,0.7744063324538258575,
1.69943389795972E+15,TDAP,492,561,87.7005347593582888,588,758,77.5725593667546174,6588,6589,273,1,3/8/2017 4:25:13 AM,0.8770053475935828877,0.7757255936675461741,
1.69943389795972E+15,TDAP,490,558,87.8136200716845878,588,758,77.5725593667546174,6588,6589,273,1,3/8/2017 11:39:09 PM,0.8781362007168458781,0.7757255936675461741,
1.69943389795972E+15,TDAP,489,557,87.7917414721723519,588,758,77.5725593667546174,6588,6589,273,1,3/9/2017 11:42:38 PM,0.8779174147217235188,0.7757255936675461741,
1.69943389795972E+15,TDAP,486,554,87.7256317689530686,587,757,77.5429326287978864,6588,6589,273,1,3/10/2017 11:38:12 PM,0.8772563176895306859,0.7754293262879788639,
1.69943389795972E+15,TDAP,486,554,87.7256317689530686,587,757,77.5429326287978864,6588,6589,273,1,3/12/2017 11:37:08 PM,0.8772563176895306859,0.7754293262879788639,
1.69943389795972E+15,TDAP,484,552,87.6811594202898551,585,754,77.5862068965517241,6588,6589,273,1,3/13/2017 11:34:24 PM,0.8768115942028985507,0.7758620689655172413,
1.69943389795972E+15,TDAP,484,553,87.5226039783001808,584,754,77.4535809018567639,6588,6589,273,1,3/14/2017 11:42:04 PM,0.8752260397830018083,0.7745358090185676392,
