PVID,metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,seen_num_over_denom,all_num_over_denom,
1.45553314800228E+15,DM-FOOT,57,72,79.1666666666666667,57,92,61.9565217391304348,6546,6547,273,1,3/10/2017 11:37:39 PM,0.7916666666666666666,0.6195652173913043478,
1.45553314800228E+15,DM-FOOT,57,72,79.1666666666666667,57,92,61.9565217391304348,6546,6547,273,1,3/12/2017 11:36:36 PM,0.7916666666666666666,0.6195652173913043478,
1.45553314800228E+15,DM-FOOT,57,72,79.1666666666666667,57,92,61.9565217391304348,6546,6547,273,1,3/13/2017 11:33:52 PM,0.7916666666666666666,0.6195652173913043478,
1.45553314800228E+15,DM-FOOT,57,72,79.1666666666666667,57,92,61.9565217391304348,6546,6547,273,1,3/14/2017 11:41:32 PM,0.7916666666666666666,0.6195652173913043478,
1.45553314800228E+15,DM-FOOT,57,72,79.1666666666666667,57,92,61.9565217391304348,6546,6547,273,1,3/15/2017 11:41:01 PM,0.7916666666666666666,0.6195652173913043478,
1.45553314800228E+15,DM-FOOT,57,72,79.1666666666666667,57,92,61.9565217391304348,6546,6547,273,1,3/16/2017 11:40:58 PM,0.7916666666666666666,0.6195652173913043478,
1.45553314800228E+15,DM-FOOT,57,72,79.1666666666666667,57,92,61.9565217391304348,6546,6547,273,1,3/17/2017 11:38:59 PM,0.7916666666666666666,0.6195652173913043478,
1.45553314800228E+15,DM-FOOT,57,72,79.1666666666666667,57,92,61.9565217391304348,6546,6547,273,1,3/19/2017 11:43:50 PM,0.7916666666666666666,0.6195652173913043478,
1.45553314800228E+15,DM-FOOT,57,72,79.1666666666666667,57,93,61.2903225806451613,6546,6547,273,1,3/20/2017 11:42:36 PM,0.7916666666666666666,0.6129032258064516129,
1.45553314800228E+15,DM-FOOT,57,73,78.0821917808219178,57,93,61.2903225806451613,6546,6547,273,1,3/21/2017 11:38:01 PM,0.7808219178082191780,0.6129032258064516129,
1.45553314800228E+15,DM-FOOT,58,73,79.4520547945205479,58,93,62.3655913978494624,6546,6547,273,1,3/22/2017 11:43:10 PM,0.7945205479452054794,0.6236559139784946236,
1.45553314800228E+15,DM-FOOT,58,73,79.4520547945205479,58,93,62.3655913978494624,6546,6547,273,1,3/23/2017 11:40:50 PM,0.7945205479452054794,0.6236559139784946236,
1.45553314800228E+15,DM-FOOT,58,73,79.4520547945205479,58,93,62.3655913978494624,6546,6547,273,1,3/24/2017 11:41:14 PM,0.7945205479452054794,0.6236559139784946236,
1.45553314800228E+15,DM-FOOT,58,73,79.4520547945205479,58,93,62.3655913978494624,6546,6547,273,1,3/26/2017 11:40:22 PM,0.7945205479452054794,0.6236559139784946236,
1.45553314800228E+15,DM-FOOT,59,73,80.8219178082191781,59,93,63.4408602150537634,6546,6547,273,1,3/27/2017 11:37:55 PM,0.8082191780821917808,0.6344086021505376344,
1.45553314800228E+15,DM-FOOT,59,73,80.8219178082191781,59,93,63.4408602150537634,6546,6547,273,1,3/28/2017 11:36:29 PM,0.8082191780821917808,0.6344086021505376344,
1.45553314800228E+15,DM-FOOT,59,74,79.7297297297297297,59,94,62.7659574468085106,6546,6547,273,1,3/29/2017 11:35:14 PM,0.7972972972972972972,0.6276595744680851063,
1.45553314800228E+15,DM-FOOT,59,74,79.7297297297297297,59,94,62.7659574468085106,6546,6547,273,1,3/30/2017 11:42:57 PM,0.7972972972972972972,0.6276595744680851063,
1.45553314800228E+15,DM-FOOT,59,74,79.7297297297297297,59,94,62.7659574468085106,6546,6547,273,1,3/31/2017 11:44:58 PM,0.7972972972972972972,0.6276595744680851063,
1.45553314800228E+15,DM-FOOT,59,74,79.7297297297297297,59,94,62.7659574468085106,6546,6547,273,1,4/2/2017 11:37:33 PM,0.7972972972972972972,0.6276595744680851063,
1.45553314800228E+15,DM-FOOT,59,75,78.6666666666666667,59,95,62.1052631578947368,6546,6547,273,1,4/3/2017 11:40:32 PM,0.7866666666666666666,0.6210526315789473684,
1.45553314800228E+15,DM-FOOT,59,75,78.6666666666666667,59,95,62.1052631578947368,6546,6547,273,1,4/4/2017 11:35:16 PM,0.7866666666666666666,0.6210526315789473684,
1.45553314800228E+15,DM-FOOT,59,75,78.6666666666666667,59,95,62.1052631578947368,6546,6547,273,1,4/5/2017 11:35:35 PM,0.7866666666666666666,0.6210526315789473684,
1.45553314800228E+15,DM-FOOT,59,75,78.6666666666666667,59,95,62.1052631578947368,6546,6547,273,1,4/6/2017 11:36:15 PM,0.7866666666666666666,0.6210526315789473684,
1.45553314800228E+15,DM-FOOT,59,75,78.6666666666666667,59,95,62.1052631578947368,6546,6547,273,1,4/7/2017 11:41:41 PM,0.7866666666666666666,0.6210526315789473684,
1.45553314800228E+15,DM-FOOT,59,75,78.6666666666666667,59,95,62.1052631578947368,6546,6547,273,1,4/9/2017 11:43:48 PM,0.7866666666666666666,0.6210526315789473684,
1.45553314800228E+15,DM-FOOT,59,75,78.6666666666666667,59,95,62.1052631578947368,6546,6547,273,1,4/10/2017 11:35:17 PM,0.7866666666666666666,0.6210526315789473684,
1.45553314800228E+15,DM-FOOT,59,74,79.7297297297297297,59,95,62.1052631578947368,6546,6547,273,1,4/12/2017 11:34:07 PM,0.7972972972972972972,0.6210526315789473684,
1.45553314800228E+15,DM-FOOT,59,74,79.7297297297297297,59,95,62.1052631578947368,6546,6547,273,1,4/13/2017 11:41:00 PM,0.7972972972972972972,0.6210526315789473684,
1.45553314800228E+15,DM-FOOT,59,74,79.7297297297297297,59,95,62.1052631578947368,6546,6547,273,1,4/14/2017 11:43:37 PM,0.7972972972972972972,0.6210526315789473684,
1.45553314800228E+15,DM-FOOT,59,74,79.7297297297297297,59,95,62.1052631578947368,6546,6547,273,1,4/16/2017 11:38:01 PM,0.7972972972972972972,0.6210526315789473684,
1.45553314800228E+15,DM-FOOT,59,74,79.7297297297297297,59,95,62.1052631578947368,6546,6547,273,1,4/17/2017 11:39:57 PM,0.7972972972972972972,0.6210526315789473684,
1.45553314800228E+15,DM-FOOT,59,74,79.7297297297297297,59,95,62.1052631578947368,6546,6547,273,1,4/18/2017 11:39:59 PM,0.7972972972972972972,0.6210526315789473684,
1.45553314800228E+15,DM-FOOT,58,73,79.4520547945205479,58,94,61.7021276595744681,6546,6547,273,1,4/19/2017 11:39:56 PM,0.7945205479452054794,0.6170212765957446808,
1.45553314800228E+15,DM-FOOT,58,73,79.4520547945205479,58,94,61.7021276595744681,6546,6547,273,1,4/20/2017 11:41:12 PM,0.7945205479452054794,0.6170212765957446808,
1.45553314800228E+15,DM-FOOT,43,54,79.6296296296296296,43,72,59.7222222222222222,6546,6547,273,1,4/21/2017 11:40:01 PM,0.7962962962962962962,0.5972222222222222222,
1.45553314800228E+15,DM-FOOT,43,54,79.6296296296296296,43,72,59.7222222222222222,6546,6547,273,1,4/23/2017 11:38:56 PM,0.7962962962962962962,0.5972222222222222222,
1.45553314800228E+15,DM-FOOT,58,74,78.3783783783783784,58,95,61.0526315789473684,6546,6547,273,1,4/24/2017 10:41:19 AM,0.7837837837837837837,0.6105263157894736842,
1.45553314800228E+15,DM-FOOT,57,73,78.0821917808219178,57,94,60.6382978723404255,6546,6547,273,1,4/24/2017 11:40:13 PM,0.7808219178082191780,0.6063829787234042553,
1.45553314800228E+15,DM-FOOT,57,73,78.0821917808219178,57,94,60.6382978723404255,6546,6547,273,1,4/25/2017 11:38:48 PM,0.7808219178082191780,0.6063829787234042553,
