PVID,metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,seen_num_over_denom,all_num_over_denom,
1.54521568200212E+15,TDAP,690,860,80.2325581395348837,1023,1482,69.0283400809716599,6588,6589,273,1,2/9/2017 11:45:51 PM,0.8023255813953488372,0.6902834008097165991,
1.54521568200212E+15,TDAP,689,859,80.2095459837019790,1023,1481,69.0749493585415260,6588,6589,273,1,2/10/2017 11:40:05 PM,0.8020954598370197904,0.6907494935854152599,
1.54521568200212E+15,TDAP,688,860,80.0000000000000000,1022,1481,69.0074274139095206,6588,6589,273,1,2/12/2017 11:46:01 PM,0.8000000000000000000,0.6900742741390952059,
1.54521568200212E+15,TDAP,691,861,80.2555168408826945,1022,1481,69.0074274139095206,6588,6589,273,1,2/13/2017 11:40:26 PM,0.8025551684088269454,0.6900742741390952059,
1.54521568200212E+15,TDAP,695,862,80.6264501160092807,1026,1482,69.2307692307692308,6588,6589,273,1,2/14/2017 11:42:03 PM,0.8062645011600928074,0.6923076923076923076,
1.54521568200212E+15,TDAP,696,861,80.8362369337979094,1030,1482,69.5006747638326586,6588,6589,273,1,2/15/2017 11:37:57 PM,0.8083623693379790940,0.6950067476383265856,
1.54521568200212E+15,TDAP,699,860,81.2790697674418605,1039,1480,70.2027027027027027,6588,6589,273,1,2/16/2017 11:40:46 PM,0.8127906976744186046,0.7020270270270270270,
1.54521568200212E+15,TDAP,698,857,81.4469078179696616,1048,1479,70.8586883029073698,6588,6589,273,1,2/17/2017 11:38:24 PM,0.8144690781796966161,0.7085868830290736984,
1.54521568200212E+15,TDAP,696,856,81.3084112149532710,1047,1479,70.7910750507099391,6588,6589,273,1,2/19/2017 11:40:29 PM,0.8130841121495327102,0.7079107505070993914,
1.54521568200212E+15,TDAP,698,859,81.2572759022118743,1049,1482,70.7827260458839406,6588,6589,273,1,2/20/2017 11:43:39 PM,0.8125727590221187427,0.7078272604588394062,
1.54521568200212E+15,TDAP,701,860,81.5116279069767442,1051,1480,71.0135135135135135,6588,6589,273,1,2/21/2017 11:42:32 PM,0.8151162790697674418,0.7101351351351351351,
1.54521568200212E+15,TDAP,699,858,81.4685314685314685,1052,1480,71.0810810810810811,6588,6589,273,1,2/22/2017 11:44:34 PM,0.8146853146853146853,0.7108108108108108108,
1.54521568200212E+15,TDAP,700,858,81.5850815850815851,1053,1480,71.1486486486486486,6588,6589,273,1,2/23/2017 11:39:40 PM,0.8158508158508158508,0.7114864864864864864,
1.54521568200212E+15,TDAP,701,859,81.6065192083818393,1055,1481,71.2356515867656989,6588,6589,273,1,2/24/2017 11:40:59 PM,0.8160651920838183934,0.7123565158676569885,
1.54521568200212E+15,TDAP,700,859,81.4901047729918510,1054,1481,71.1681296421336935,6588,6589,273,1,2/26/2017 11:43:07 PM,0.8149010477299185098,0.7116812964213369345,
1.54521568200212E+15,TDAP,702,861,81.5331010452961672,1054,1481,71.1681296421336935,6588,6589,273,1,2/27/2017 11:38:31 PM,0.8153310104529616724,0.7116812964213369345,
1.54521568200212E+15,TDAP,703,862,81.5545243619489559,1055,1482,71.1875843454790823,6588,6589,273,1,2/28/2017 11:43:41 PM,0.8155452436194895591,0.7118758434547908232,
1.54521568200212E+15,TDAP,705,863,81.6917728852838934,1057,1483,71.2744436952124073,6588,6589,273,1,3/1/2017 11:35:29 PM,0.8169177288528389339,0.7127444369521240728,
